timestamp,io_errors,frames_tx,frames_rx,interface
300956208,8061,7885,0,1
301058218,8061,7887,0,1
301160219,8063,7887,0,1
301262203,8064,7887,0,1
301364508,8064,7899,0,1
301466205,8075,7899,0,1
301568220,8075,7901,0,1
301670217,8077,7901,0,1
301772205,8077,7901,0,1
301874321,8077,7901,0,1
301976212,8077,7903,0,1
302078225,8079,7903,0,1
302180218,8079,7903,0,1
302282249,8080,7915,0,1
302384337,8091,7915,0,1
302486201,8091,7917,0,1
302588217,8093,7917,0,1
302690217,8093,7917,0,1
302792205,8093,7917,0,1
302894514,8093,7917,0,1
302996203,8093,7917,0,1
303098218,8093,7919,0,1
303200223,8095,7919,0,1
303302204,8096,7931,0,1
303404476,8107,7931,0,1
303506205,8107,7931,0,1
303608218,8107,7933,0,1
303710218,8109,7933,0,1
303812202,8109,7933,0,1
303914323,8109,7933,0,1
304016202,8109,7933,0,1
304118219,8109,7935,0,1
304220220,8111,7935,0,1
304322213,8112,7947,0,1
304424511,8123,7947,0,1
304526201,8123,7949,0,1
304628222,8125,7949,0,1
304730217,8125,7949,0,1
304832202,8125,7949,0,1
304934541,8125,7949,0,1
305036201,8125,7951,0,1
305138218,8127,7951,0,1
305240217,8128,7951,0,1
305342202,8128,7963,0,1
305444519,8139,7963,0,1
305546201,8139,7965,0,1
305648220,8141,7965,0,1
305750219,8141,7965,0,1
305852203,8141,7965,0,1
305954310,8141,7965,0,1
306056202,8141,7967,0,1
306158218,8143,7967,0,1
306260222,8144,7967,0,1
306362205,8144,7979,0,1
306464315,8155,7979,0,1
306566209,8155,7981,0,1
306668218,8157,7981,0,1
306770217,8157,7981,0,1
306872211,8157,7981,0,1
306974315,8157,7981,0,1
307076218,8157,7983,0,1
307178218,8159,7983,0,1
307280286,8160,7995,0,1
307382202,8171,7995,0,1
307484574,8171,7995,0,1
307586201,8171,7997,0,1
307688224,8173,7997,0,1
307790219,8173,7997,0,1
307892202,8173,7997,0,1
307994344,8173,7997,0,1
308096200,8173,7999,0,1
308198219,8175,7999,0,1
308300218,8176,8011,0,1
308402203,8187,8011,0,1
308504523,8187,8011,0,1
308606201,8187,8013,0,1
308708219,8189,8013,0,1
308810223,8189,8013,0,1
308912201,8189,8013,0,1
309014503,8189,8013,0,1
309116212,8189,8015,0,1
309218220,8191,8015,0,1
309320218,8192,8027,0,1
309422207,8203,8027,0,1
309524347,8203,8027,0,1
309626202,8203,8029,0,1
309728218,8205,8029,0,1
309830218,8205,8029,0,1
309932211,8205,8029,0,1
310034516,8205,8029,0,1
310136201,8205,8031,0,1
310238218,8208,8031,0,1
310340217,8208,8043,0,1
310442202,8219,8043,0,1
310544311,8219,8043,0,1
310646203,8219,8045,0,1
310748219,8221,8045,0,1
310850218,8221,8045,0,1
310952202,8221,8045,0,1
311054509,8221,8045,0,1
311156201,8221,8047,0,1
311258218,8224,8047,0,1
311360221,8224,8059,0,1
311462203,8235,8059,0,1
311564523,8235,8059,0,1
311666202,8235,8061,0,1
311768217,8237,8061,0,1
311870217,8237,8061,0,1
311972205,8237,8061,0,1
312074319,8237,8061,0,1
312176208,8237,8063,0,1
312278217,8240,8073,0,1
312380218,8250,8075,0,1
312482209,8251,8075,0,1
312584515,8251,8075,0,1
312686201,8251,8077,0,1
312788220,8253,8077,0,1
312890221,8253,8077,0,1
312992203,8253,8077,0,1
313094509,8253,8077,0,1
313196201,8253,8079,0,1
313298223,8256,8091,0,1
313400217,8267,8091,0,1
313502204,8267,8091,0,1
313604317,8267,8091,0,1
313706202,8267,8093,0,1
313808217,8269,8093,0,1
313910199,8269,8093,0,1
314012202,8269,8093,0,1
314114357,8269,8093,0,1
314216215,8269,8095,0,1
314318219,8272,8107,0,1
314420224,8283,8107,0,1
314522206,8283,8107,0,1
314624338,8283,8109,0,1
314726206,8285,8109,0,1
314828218,8285,8109,0,1
