timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
508920175,1,0,1,0,0,0,0
509426146,1,0,1,0,0,0,0
509932147,1,0,1,0,0,0,0
510438147,1,0,1,0,0,0,0
510944445,1,0,1,0,0,0,0
511450173,1,0,1,0,0,0,0
511956209,1,0,1,0,0,0,0
512462146,1,0,1,0,0,0,0
512968168,1,0,1,0,0,0,0
513474544,1,0,1,0,0,0,0
513980175,1,0,1,0,0,0,0
514486147,1,0,1,0,0,0,0
514992145,1,0,1,0,0,0,0
515498167,1,0,1,0,0,0,0
516004334,1,0,1,0,0,0,0
516510245,1,0,1,0,0,0,0
517016212,1,0,1,0,0,0,0
517522183,1,0,1,0,0,0,0
518028166,1,0,1,0,0,0,0
518534567,1,0,1,0,0,0,0
519040215,1,0,1,0,0,0,0
519546146,1,0,1,0,0,0,0
520052145,1,0,1,0,0,0,0
520558147,1,0,1,0,0,0,0
521064333,1,0,1,0,0,0,0
521570175,1,0,1,0,0,0,0
522076146,1,0,1,0,0,0,0
522582147,1,0,1,0,0,0,0
523088147,1,0,1,0,0,0,0
523594348,1,0,1,0,0,0,0
524100212,1,0,1,0,0,0,0
524606146,1,0,1,0,0,0,0
525112146,1,0,1,0,0,0,0
525618165,1,0,1,0,0,0,0
526124369,1,0,1,0,0,0,0
526630234,1,0,1,0,0,0,0
527136146,1,0,1,0,0,0,0
527642145,1,0,1,0,0,0,0
528148147,1,0,1,0,0,0,0
528313379,1,0,1,0,0,0,0
528324609,1,0,1,0,0,0,0
528830177,1,0,1,0,0,0,0
529336146,1,0,1,0,0,0,0
529842146,1,0,1,0,0,0,0
530348146,1,0,1,0,0,0,0
530854538,1,0,1,0,0,0,0
531360176,1,0,1,0,0,0,0
531866167,1,0,1,0,0,0,0
532372145,1,0,1,0,0,0,0
532878147,1,0,1,0,0,0,0
533043563,0,0,0,0,0,0,0
533087436,0,0,0,0,0,0,0
533131501,0,0,0,0,0,0,0
533187106,0,0,0,0,0,0,0
533231633,0,0,0,0,0,0,0
533286498,0,0,0,0,0,0,0
533330528,0,0,0,0,0,0,0
533392368,0,0,0,0,0,0,0
533436495,0,0,0,0,0,0,0
533491688,0,0,0,0,0,0,0
533547463,0,0,0,0,0,0,0
533591625,0,0,0,0,0,0,0
533635454,0,0,0,0,0,0,0
533690447,0,0,0,0,0,0,0
533745429,0,0,0,0,0,0,0
533789373,0,0,0,0,0,0,0
533844803,0,0,0,0,0,0,0
533888417,0,0,0,0,0,0,0
533943395,0,0,0,0,0,0,0
533987374,0,0,0,0,0,0,0
534042341,0,0,0,0,0,0,0
