timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
289915115,2.0489097e-08,-2.0489097e-08,9.313226e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
290113865,9.313226e-09,-8.614734e-09,1.8626451e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
290317612,9.313226e-09,1.8626451e-09,1.3038516e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
290517610,5.5879354e-09,-1.5832484e-08,-5.7742e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
290716389,3.7252903e-09,1.4901161e-08,2.2351742e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
290916373,-2.0489097e-08,1.3038516e-08,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
291112608,1.4901161e-08,-1.6298145e-08,-3.5390258e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
291311361,1.3504177e-08,-5.5879354e-09,1.4901161e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
291515115,-1.8626451e-08,1.8626451e-08,-9.313226e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
291717611,-2.8871e-08,-7.450581e-09,-9.313226e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
291916365,2.188608e-08,-1.3038516e-08,-4.284084e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
292113861,-5.5879354e-09,1.8044375e-08,2.0489097e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
292313861,0.0,5.5879354e-09,4.0978193e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
292511361,-7.450581e-09,-4.1909516e-09,-9.313226e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
292715114,2.9336661e-08,-2.9802322e-08,-4.8428774e-08,0.0,0.0,-1.1920929e-07,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
292913864,1.5832484e-08,-9.313226e-09,9.313226e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
293113857,-1.4202669e-08,-9.313226e-09,4.656613e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
293315115,3.7252903e-09,-3.7252903e-09,-5.9604645e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
293513864,1.3038516e-08,2.7939677e-09,-3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
293715118,-2.3748726e-08,-2.514571e-08,-1.1175871e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
293911361,-2.9802322e-08,1.8626451e-09,1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
294112612,-9.313226e-09,1.9790605e-08,1.3038516e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
294316362,0.0,3.4458935e-08,-3.7252903e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
294515114,-7.450581e-09,-2.6077032e-08,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
294716362,3.1664968e-08,-6.519258e-09,-2.2351742e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
294912608,8.381903e-09,-3.5390258e-08,3.7252903e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
295113863,-2.7008355e-08,-6.2864274e-09,-3.5390258e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
295311362,2.6077032e-08,-1.4901161e-08,5.7742e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
295515115,-1.8626451e-08,1.8626451e-08,-2.9802322e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
295716362,-1.5366822e-08,3.3527613e-08,2.2351742e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
295916362,-9.313226e-09,7.450581e-09,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
296113894,-1.6298145e-09,-1.6298145e-08,4.0978193e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
296312612,-1.1175871e-08,-7.450581e-09,-2.4214387e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
296512608,5.5879354e-09,-1.4901161e-08,2.9802322e-08,0.0,0.0,5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
296712610,-1.8626451e-09,-3.7252903e-09,-1.8626451e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
