timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
416718307,1200.0,0.29984155,512.9764,0.0,7115,0,16.999218,415,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417968309,1200.0,0.29984155,639.6331,0.0,7135,0,0.0,416,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418978348,1200.0,0.29984155,566.3366,0.0,7150,0,33.66337,417,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419228292,1200.0,0.29984155,566.3366,0.0,7156,0,33.66337,417,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420488286,1200.0,0.29984155,590.09955,0.0,7177,0,0.0,419,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421738238,1200.0,0.29984155,544.9875,0.0,7196,0,33.999218,420,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422998239,1200.0,0.29984155,400.9806,0.0,7210,0,16.831284,421,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423998305,1200.0,0.29984155,545.5575,0.0,7229,0,16.832083,422,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424258239,1200.0,0.29984155,545.5575,0.0,7236,0,16.832083,422,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425508281,1200.0,0.29984155,566.3366,0.0,7254,0,16.831684,424,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426768297,1200.0,0.29984155,445.54498,0.0,7270,0,16.8317,425,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428018287,1200.0,0.29984155,631.68317,0.0,7291,0,16.831684,426,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429028242,1200.0,0.29984155,508.97507,0.0,7303,0,16.999166,427,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429268362,1200.0,0.29984155,508.97507,0.0,7309,0,16.999166,427,0,0,0,108,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430518278,1200.0,0.29984155,654.9994,0.0,7331,0,16.999985,429,0,0,0,110,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431778239,1200.0,0.29984155,516.83215,0.0,7351,0,16.8317,430,0,0,0,110,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433038280,1200.0,0.29984155,594.99945,0.0,7367,0,16.999985,431,0,0,0,110,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434038295,1200.0,0.29984155,450.48523,0.0,7386,0,16.831316,432,0,0,0,110,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434288288,1200.0,0.29984155,450.48523,0.0,7392,0,16.831316,433,0,0,0,110,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435538274,1200.0,0.29984155,454.97864,0.0,7407,0,16.9992,434,0,0,0,112,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436788239,1200.0,0.29984155,468.33817,0.0,7424,0,16.83245,435,0,0,0,112,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
