timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
444587018,5.041241,0.0,3.3330321,3.3294067,3.3239684,3.3252776,15,0,1,0,1,0,0,0,0,0
445087018,5.026941,0.0,3.30141,3.3328307,3.326184,3.3227599,15,0,1,0,1,0,0,0,0,0
445587019,5.040637,0.0,3.329306,3.3270905,3.3248749,3.3252776,15,0,1,0,1,0,0,0,0,0
446087018,5.044464,0.0,3.3177245,3.331421,3.325882,3.326587,15,0,1,0,1,0,0,0,0,0
446587018,5.035702,0.0,3.306848,3.3281982,3.3287017,3.326889,15,0,1,0,1,0,0,0,0,0
447097018,5.034494,0.0,3.32135,3.3312194,3.326486,3.32558,15,0,1,0,1,0,0,0,0,0
447597018,5.0300627,0.0,3.3346436,3.3274932,3.3272917,3.3242705,15,0,1,0,1,0,0,0,0,0
448087018,5.022006,0.0,3.331421,3.3304138,3.3309174,3.3282988,15,0,1,0,1,0,0,0,0,0
448587018,5.036307,0.0,3.3214507,3.3297088,3.3287017,3.3274932,15,0,1,0,1,0,0,0,0,0
449087017,5.0207977,0.0,3.307956,3.3308165,3.3290038,3.3272917,15,0,1,0,1,0,0,0,0,0
449587018,5.0360045,0.0,3.3078551,3.3306153,3.3277953,3.3248749,15,0,1,0,1,0,0,0,0,0
450087056,5.0381193,0.0,3.3178253,3.3289032,3.327896,3.3298094,15,0,1,0,1,0,0,0,0,0
450597019,5.0370116,0.0,3.3046324,3.3297088,3.3230622,3.326184,15,0,1,0,1,0,0,0,0,0
451087019,5.034695,0.0,3.30141,3.3306153,3.3286011,3.3266876,15,0,1,0,1,0,0,0,0,0
451587018,5.0342927,0.0,3.3112793,3.3292053,3.325882,3.3246734,15,0,1,0,1,0,0,0,0,0
