timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
364594330,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
365604337,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
366614336,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
367624181,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
368634335,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
369644186,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
370654184,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
371664326,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
372674334,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
373684361,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
374694335,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
375704331,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
376714333,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
377724344,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
378734335,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
379744331,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
380754332,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
381764199,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
382774190,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
383784349,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
384794344,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
385804177,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
386814185,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
387824188,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
388834336,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
389844335,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
390854206,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
391864189,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
