timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
465409754,465377945,3,4,3,0,0,0,3,0,0,0,0,0,0
466419108,466387991,3,4,3,0,0,0,3,0,0,0,0,0,0
467430551,467399740,3,4,3,0,0,0,3,0,0,0,0,0,0
468442721,468410837,3,4,3,0,0,0,3,0,0,0,0,0,0
469454737,469423446,3,4,3,0,0,0,3,0,0,0,0,0,0
470466116,470435601,3,4,3,0,0,0,3,0,0,0,0,0,0
471477289,471446261,3,4,3,0,0,0,3,0,0,0,0,0,0
472489606,472458451,3,4,3,0,0,0,3,0,0,0,0,0,0
473499615,473468653,3,4,3,0,0,0,3,0,0,0,0,0,0
474509118,474478063,3,4,3,0,0,0,3,0,0,0,0,0,0
475522720,475491005,3,4,3,0,0,0,3,0,0,0,0,0,0
476536049,476504680,3,4,3,0,0,0,3,0,0,0,0,0,0
477546900,477515529,3,4,3,0,0,0,3,0,0,0,0,0,0
478557430,478526730,3,4,3,0,0,0,3,0,0,0,0,0,0
479569522,479538060,3,4,3,0,0,0,3,0,0,0,0,0,0
480580168,480548562,3,4,3,0,0,0,3,0,0,0,0,0,0
481591808,481560836,3,4,3,0,0,0,3,0,0,0,0,0,0
482620846,482589737,3,4,3,0,0,0,3,0,0,0,0,0,0
483631679,483600845,3,4,3,0,0,0,3,0,0,0,0,0,0
484643474,484612651,3,4,3,0,0,0,3,0,0,0,0,0,0
485654739,485623505,3,4,3,0,0,0,3,0,0,0,0,0,0
486664768,486633613,3,4,3,0,0,0,3,0,0,0,0,0,0
487676906,487645431,3,4,3,0,0,0,3,0,0,0,0,0,0
488686900,488655520,3,4,3,0,0,0,3,0,0,0,0,0,0
489698042,489666741,3,4,3,0,0,0,3,0,0,0,0,0,0
490708294,490677179,3,4,3,0,0,0,3,0,0,0,0,0,0
491718469,491687656,3,4,3,0,0,0,3,0,0,0,0,0,0
492730703,492699718,3,4,3,0,0,0,3,0,0,0,0,0,0
493742022,493710298,3,4,3,0,0,0,3,0,0,0,0,0,0
494754578,494723302,3,4,3,0,0,0,3,0,0,0,0,0,0
495767442,495736261,3,4,3,0,0,0,3,0,0,0,0,0,0
496778634,496748057,3,4,3,0,0,0,3,0,0,0,0,0,0
497789514,497758060,3,4,3,0,0,0,3,0,0,0,0,0,0
498800246,498769379,3,4,3,0,0,0,3,0,0,0,0,0,0
499811289,499779732,3,4,3,0,0,0,3,0,0,0,0,0,0
500822120,500791033,3,4,3,0,0,0,3,0,0,0,0,0,0
501833131,501801744,3,4,3,0,0,0,3,0,0,0,0,0,0
502843173,502812425,3,4,3,0,0,0,3,0,0,0,0,0,0
503854732,503823649,3,4,3,0,0,0,3,0,0,0,0,0,0
504868166,504837033,3,4,3,0,0,0,3,0,0,0,0,0,0
505879104,505847651,3,4,3,0,0,0,3,0,0,0,0,0,0
506890569,506859385,3,4,3,0,0,0,3,0,0,0,0,0,0
507904328,507872653,3,4,3,0,0,0,3,0,0,0,0,0,0
508915029,508883373,3,4,3,0,0,0,3,0,0,0,0,0,0
509925689,509894587,3,4,3,0,0,0,3,0,0,0,0,0,0
510936135,510904753,3,4,3,0,0,0,3,0,0,0,0,0,0
511946430,511915162,3,4,3,0,0,0,3,0,0,0,0,0,0
512956109,512925450,3,4,3,0,0,0,3,0,0,0,0,0,0
513966874,513934786,3,4,3,0,0,0,3,0,0,0,0,0,0
514978612,514947222,3,4,3,0,0,0,3,0,0,0,0,0,0
515987134,515956283,3,4,3,0,0,0,3,0,0,0,0,0,0
516997291,516966420,3,4,3,0,0,0,3,0,0,0,0,0,0
518010912,517979719,3,4,3,0,0,0,3,0,0,0,0,0,0
519024473,518992652,3,4,3,0,0,0,3,0,0,0,0,0,0
520034786,520003459,3,4,3,0,0,0,3,0,0,0,0,0,0
521045977,521014951,3,4,3,0,0,0,3,0,0,0,0,0,0
522054712,522023519,3,4,3,0,0,0,3,0,0,0,0,0,0
523065566,523034673,3,4,3,0,0,0,3,0,0,0,0,0,0
524076896,524045567,3,4,3,0,0,0,3,0,0,0,0,0,0
525087925,525056892,3,4,3,0,0,0,3,0,0,0,0,0,0
526098042,526067087,3,4,3,0,0,0,3,0,0,0,0,0,0
527108628,527077175,3,4,3,0,0,0,3,0,0,0,0,0,0
528121106,528089721,3,4,3,0,0,0,3,0,0,0,0,0,0
528295558,528272665,4,1,3,0,0,0,3,0,0,0,0,0,0
529304730,529282086,4,1,3,0,0,0,3,0,0,0,0,0,0
530312848,530290293,4,1,3,0,0,0,3,0,0,0,0,0,0
531327431,531304598,4,1,3,0,0,0,3,0,0,0,0,0,0
532340706,532317932,4,1,3,0,0,0,3,0,0,0,0,0,0
533358203,533334819,4,1,3,0,0,0,3,0,0,0,0,0,0
